Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B,Success(%)
1,BFS,10x10,10,0.549±0.477,88.448±3.841,10.517±0.509,4324.966±123.943,96.7
1,BFS,30x30,15,3.842±0.612,765.233±11.855,32.167±0.747,36753.600±564.034,100
1,BFS,50x50,20,13.807±4.161,1996.833±19.402,54.433±1.194,95888.000±949.878,100
1,Dijkstra,10x10,10,0.626±0.217,90.200±3.145,10.733±0.583,4329.600±150.950,100
1,Dijkstra,30x30,15,4.736±1.526,765.333±10.357,32.333±0.802,36740.800±487.503,100
1,Dijkstra,50x50,20,14.712±2.367,2003.967±23.442,54.833±1.147,96195.333±1122.066,100
1,A*,10x10,10,0.428±0.299,17.700±8.163,10.600±0.563,2182.400±320.320,100
1,A*,30x30,15,1.773±1.106,114.900±51.039,32.067±0.828,9872.000±2466.940,100
1,A*,50x50,20,5.583±1.986,425.345±93.883,55.034±0.944,27074.207±4321.235,96.7
1,D*_Lite,10x10,10,0.957±0.487,16.733±6.581,10.600±0.563,2152.267±253.666,100
1,D*_Lite,30x30,15,4.927±1.781,125.600±49.410,32.133±0.776,10571.267±2154.141,100
1,D*_Lite,50x50,20,11.133±3.746,415.966±120.388,54.621±1.083,26963.586±5538.034,96.7
