Experiment,Heuristic,Movement,Grid_Size,Execution_Time,Nodes_Expanded,Path_Length,Optimality_Ratio
2,Manhattan,4-dir,50x50,4.665,428,99,2.020
2,Manhattan,4-dir,50x50,5.480,414,99,2.020
2,Manhattan,4-dir,50x50,5.430,494,99,2.020
2,Manhattan,4-dir,50x50,16.660,1352,101,2.061
2,Manhattan,4-dir,50x50,9.500,863,101,2.061
2,Manhattan,4-dir,50x50,4.595,420,99,2.020
2,Manhattan,4-dir,50x50,6.265,485,99,2.020
2,Manhattan,4-dir,50x50,15.380,1383,101,2.061
2,Manhattan,4-dir,50x50,3.690,492,99,2.020
2,Manhattan,4-dir,50x50,5.180,408,99,2.020
2,Manhattan,4-dir,50x50,8.765,803,103,2.102
2,Manhattan,4-dir,50x50,2.605,374,99,2.020
2,Manhattan,4-dir,50x50,4.525,537,99,2.020
2,Manhattan,4-dir,50x50,8.995,712,99,2.020
2,Manhattan,4-dir,50x50,5.330,651,99,2.020
2,Manhattan,4-dir,50x50,6.895,573,99,2.020
2,Manhattan,4-dir,50x50,2.545,319,99,2.020
2,Manhattan,4-dir,50x50,5.445,620,99,2.020
2,Manhattan,4-dir,50x50,3.005,526,99,2.020
2,Manhattan,4-dir,50x50,4.645,491,99,2.020
2,Manhattan,4-dir,50x50,3.905,478,99,2.020
2,Manhattan,4-dir,50x50,5.860,842,99,2.020
2,Manhattan,4-dir,50x50,3.325,393,99,2.020
2,Manhattan,4-dir,50x50,6.920,707,99,2.020
2,Manhattan,4-dir,50x50,5.565,358,99,2.020
2,Manhattan,4-dir,50x50,3.710,435,99,2.020
2,Manhattan,4-dir,50x50,13.100,1357,101,2.061
2,Manhattan,4-dir,50x50,5.665,701,99,2.020
2,Manhattan,4-dir,50x50,12.060,554,99,2.020
2,Manhattan,4-dir,50x50,5.870,668,99,2.020
2,Manhattan,8-dir,50x50,2.565,71,58,1.184
2,Manhattan,8-dir,50x50,2.875,54,54,1.102
2,Manhattan,8-dir,50x50,1.615,66,59,1.204
2,Manhattan,8-dir,50x50,0.870,56,55,1.122
2,Manhattan,8-dir,50x50,1.360,62,58,1.184
2,Manhattan,8-dir,50x50,1.810,78,57,1.163
2,Manhattan,8-dir,50x50,1.555,62,58,1.184
2,Manhattan,8-dir,50x50,1.475,78,61,1.245
2,Manhattan,8-dir,50x50,1.495,71,59,1.204
2,Manhattan,8-dir,50x50,1.145,63,59,1.204
2,Manhattan,8-dir,50x50,1.195,59,58,1.184
2,Manhattan,8-dir,50x50,1.280,55,53,1.082
2,Manhattan,8-dir,50x50,1.145,55,54,1.102
2,Manhattan,8-dir,50x50,1.490,59,56,1.143
2,Manhattan,8-dir,50x50,2.340,59,56,1.143
2,Manhattan,8-dir,50x50,1.670,69,67,1.367
2,Manhattan,8-dir,50x50,1.330,61,55,1.122
2,Manhattan,8-dir,50x50,1.405,59,56,1.143
2,Manhattan,8-dir,50x50,0.975,59,55,1.122
2,Manhattan,8-dir,50x50,1.455,58,58,1.184
2,Manhattan,8-dir,50x50,1.570,60,55,1.122
2,Manhattan,8-dir,50x50,1.020,65,59,1.024
2,Manhattan,8-dir,50x50,1.045,62,58,1.184
2,Manhattan,8-dir,50x50,1.055,58,57,1.163
2,Manhattan,8-dir,50x50,1.315,64,54,1.102
2,Manhattan,8-dir,50x50,1.335,66,60,1.225
2,Manhattan,8-dir,50x50,0.865,71,57,1.163
2,Manhattan,8-dir,50x50,0.840,57,57,1.163
2,Manhattan,8-dir,50x50,1.165,66,58,1.184
2,Manhattan,8-dir,50x50,0.910,59,55,1.122
2,Euclidean,4-dir,50x50,6.950,740,105,2.143
2,Euclidean,4-dir,50x50,4.705,499,99,2.020
2,Euclidean,4-dir,50x50,3.480,361,103,2.102
2,Euclidean,4-dir,50x50,3.555,432,99,2.020
2,Euclidean,4-dir,50x50,2.030,280,99,2.020
2,Euclidean,4-dir,50x50,5.290,568,103,2.102
2,Euclidean,4-dir,50x50,4.160,456,99,2.020
2,Euclidean,4-dir,50x50,11.405,1194,105,2.143
2,Euclidean,4-dir,50x50,2.840,386,99,2.020
2,Euclidean,4-dir,50x50,2.590,356,99,2.020
2,Euclidean,4-dir,50x50,7.670,896,109,2.225
2,Euclidean,4-dir,50x50,2.715,364,99,2.020
2,Euclidean,4-dir,50x50,5.995,740,107,2.184
2,Euclidean,4-dir,50x50,3.975,404,99,2.020
2,Euclidean,4-dir,50x50,4.665,626,101,2.061
2,Euclidean,4-dir,50x50,10.335,1086,105,2.143
2,Euclidean,4-dir,50x50,2.695,317,103,2.102
2,Euclidean,4-dir,50x50,3.790,536,101,2.061
2,Euclidean,4-dir,50x50,2.660,293,99,2.020
2,Euclidean,4-dir,50x50,4.770,668,103,2.102
2,Euclidean,4-dir,50x50,6.605,885,105,2.143
2,Euclidean,4-dir,50x50,8.620,934,103,2.102
2,Euclidean,4-dir,50x50,3.575,453,99,2.020
2,Euclidean,4-dir,50x50,6.095,753,105,2.143
2,Euclidean,4-dir,50x50,2.550,316,99,2.020
2,Euclidean,4-dir,50x50,2.345,338,101,2.061
2,Euclidean,4-dir,50x50,2.310,319,99,2.020
2,Euclidean,4-dir,50x50,7.100,860,103,2.102
2,Euclidean,4-dir,50x50,7.010,951,109,2.225
2,Euclidean,4-dir,50x50,2.865,372,99,2.020
2,Euclidean,8-dir,50x50,1.270,72,60,1.225
2,Euclidean,8-dir,50x50,1.200,65,57,1.163
2,Euclidean,8-dir,50x50,1.290,128,65,1.327
2,Euclidean,8-dir,50x50,1.235,71,59,1.204
2,Euclidean,8-dir,50x50,1.325,85,61,1.245
2,Euclidean,8-dir,50x50,0.985,71,61,1.245
2,Euclidean,8-dir,50x50,1.285,81,62,1.265
2,Euclidean,8-dir,50x50,0.775,58,56,1.143
2,Euclidean,8-dir,50x50,0.925,87,58,1.184
2,Euclidean,8-dir,50x50,0.855,69,61,1.245
2,Euclidean,8-dir,50x50,0.830,63,57,1.163
2,Euclidean,8-dir,50x50,1.120,89,64,1.306
2,Euclidean,8-dir,50x50,0.735,63,57,1.163
2,Euclidean,8-dir,50x50,0.805,62,59,1.204
2,Euclidean,8-dir,50x50,0.955,64,59,1.204
2,Euclidean,8-dir,50x50,0.950,62,56,1.143
2,Euclidean,8-dir,50x50,1.195,82,62,1.265
2,Euclidean,8-dir,50x50,1.165,72,59,1.204
2,Euclidean,8-dir,50x50,1.040,85,61,1.245
2,Euclidean,8-dir,50x50,0.820,62,57,1.163
2,Euclidean,8-dir,50x50,1.105,68,59,1.204
2,Euclidean,8-dir,50x50,0.920,75,60,1.225
2,Euclidean,8-dir,50x50,0.965,65,57,1.163
2,Euclidean,8-dir,50x50,1.055,86,61,1.245
2,Euclidean,8-dir,50x50,0.875,67,58,1.184
2,Euclidean,8-dir,50x50,0.995,70,59,1.204
2,Euclidean,8-dir,50x50,1.135,103,65,1.327
2,Euclidean,8-dir,50x50,1.115,81,60,1.225
2,Euclidean,8-dir,50x50,0.990,76,60,1.225
2,Euclidean,8-dir,50x50,1.215,75,64,1.306
2,Chebyshev,4-dir,50x50,9.675,1353,99,2.020
2,Chebyshev,4-dir,50x50,18.655,1184,99,2.020
2,Chebyshev,4-dir,50x50,8.665,1031,99,2.020
2,Chebyshev,4-dir,50x50,8.480,1110,99,2.020
2,Chebyshev,4-dir,50x50,12.870,1611,101,2.061
2,Chebyshev,4-dir,50x50,11.545,1249,99,2.020
2,Chebyshev,4-dir,50x50,10.475,1279,101,2.061
2,Chebyshev,4-dir,50x50,13.220,1495,101,2.061
2,Chebyshev,4-dir,50x50,12.345,1439,111,2.265
2,Chebyshev,4-dir,50x50,11.410,1417,103,2.102
2,Chebyshev,4-dir,50x50,9.085,1234,99,2.020
2,Chebyshev,4-dir,50x50,11.550,1323,101,2.061
2,Chebyshev,4-dir,50x50,9.390,1181,99,2.020
2,Chebyshev,4-dir,50x50,11.120,1443,99,2.020
2,Chebyshev,4-dir,50x50,6.490,1116,101,2.061
2,Chebyshev,4-dir,50x50,10.050,1280,101,2.061
2,Chebyshev,4-dir,50x50,13.100,1495,105,2.143
2,Chebyshev,4-dir,50x50,9.690,1234,103,2.102
2,Chebyshev,4-dir,50x50,9.170,1237,99,2.020
