Experiment,Heuristic,Movement,Grid_Size,Execution_Time,Nodes_Expanded,Path_Length,Optimality_Ratio
2,Manhattan,8-dir,50x50,2.565,71,58,1.184
2,Manhattan,8-dir,50x50,2.875,54,54,1.102
2,Manhattan,8-dir,50x50,1.615,66,59,1.204
2,Manhattan,8-dir,50x50,0.870,56,55,1.122
2,Manhattan,8-dir,50x50,1.360,62,58,1.184
2,Manhattan,8-dir,50x50,1.810,78,57,1.163
2,Manhattan,8-dir,50x50,1.555,62,58,1.184
2,Manhattan,8-dir,50x50,1.475,78,61,1.245
2,Manhattan,8-dir,50x50,1.495,71,59,1.204
2,Manhattan,8-dir,50x50,1.145,63,59,1.204
2,Manhattan,8-dir,50x50,1.195,59,58,1.184
2,Manhattan,8-dir,50x50,1.280,55,53,1.082
2,Manhattan,8-dir,50x50,1.145,55,54,1.102
2,Manhattan,8-dir,50x50,1.490,59,56,1.143
2,Manhattan,8-dir,50x50,2.340,59,56,1.143
2,Manhattan,8-dir,50x50,1.670,69,67,1.367
2,Manhattan,8-dir,50x50,1.330,61,55,1.122
2,Manhattan,8-dir,50x50,1.405,59,56,1.143
2,Manhattan,8-dir,50x50,0.975,59,55,1.122
2,Manhattan,8-dir,50x50,1.455,58,58,1.184
2,Manhattan,8-dir,50x50,1.570,60,55,1.122
2,Manhattan,8-dir,50x50,1.020,65,59,1.024
2,Manhattan,8-dir,50x50,1.045,62,58,1.184
2,Manhattan,8-dir,50x50,1.055,58,57,1.163
2,Manhattan,8-dir,50x50,1.315,64,54,1.102
2,Manhattan,8-dir,50x50,1.335,66,60,1.225
2,Manhattan,8-dir,50x50,0.865,71,57,1.163
2,Manhattan,8-dir,50x50,0.840,57,57,1.163
2,Manhattan,8-dir,50x50,1.165,66,58,1.184
2,Manhattan,8-dir,50x50,0.910,59,55,1.122
