Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Optimality_Ratio
3,D*_Lite,50x50,Large(20%),17.640,568,99,2.020
3,D*_Lite,50x50,Large(20%),0.685,2,NULL,0
3,D*_Lite,50x50,Large(20%),0.305,4,NULL,0
3,D*_Lite,50x50,Large(20%),16.185,680,99,2.020
3,D*_Lite,50x50,Large(20%),30.315,1702,NULL,0
3,D*_Lite,50x50,Large(20%),8.965,602,99,2.020
3,D*_Lite,50x50,Large(20%),9.655,604,99,2.020
3,D*_Lite,50x50,Large(20%),12.435,747,101,2.061
3,D*_Lite,50x50,Large(20%),13.215,501,101,2.061
3,D*_Lite,50x50,Large(20%),0.280,14,NULL,0
3,D*_Lite,50x50,Large(20%),10.555,616,99,2.020
3,D*_Lite,50x50,Large(20%),5.175,497,99,2.020
3,D*_Lite,50x50,Large(20%),6.455,425,101,2.061
3,D*_Lite,50x50,Large(20%),13.320,760,101,2.061
3,D*_Lite,50x50,Large(20%),11.355,454,99,2.020
3,D*_Lite,50x50,Large(20%),0.200,4,NULL,0
3,D*_Lite,50x50,Large(20%),9.945,443,101,2.061
3,D*_Lite,50x50,Large(20%),0.105,2,NULL,0
3,D*_Lite,50x50,Large(20%),29.330,1577,NULL,0
3,D*_Lite,50x50,Large(20%),7.460,534,99,2.020
3,D*_Lite,50x50,Large(20%),10.620,694,101,2.061
3,D*_Lite,50x50,Large(20%),29.975,1723,NULL,0
3,D*_Lite,50x50,Large(20%),0.290,2,NULL,0
3,D*_Lite,50x50,Large(20%),0.115,1,NULL,0
3,D*_Lite,50x50,Large(20%),8.875,540,99,2.020
3,D*_Lite,50x50,Large(20%),24.360,1669,NULL,0
3,D*_Lite,50x50,Large(20%),6.385,500,101,2.061
3,D*_Lite,50x50,Large(20%),0.115,3,NULL,0
3,D*_Lite,50x50,Large(20%),0.220,1,NULL,0
3,D*_Lite,50x50,Large(20%),14.890,832,101,2.061
